,Date,Open
18992,2003-08-25,993.059998
19001,2003-09-08,1021.390015
19006,2003-09-15,1018.630005
19011,2003-09-22,1036.300049
19016,2003-09-29,996.849976
19021,2003-10-06,1029.849976
19026,2003-10-13,1038.060059
19031,2003-10-20,1039.319946
19036,2003-10-27,1028.910034
19041,2003-11-03,1050.709961
19046,2003-11-10,1053.209961
19051,2003-11-17,1050.349976
19056,2003-11-24,1035.280029
19060,2003-12-01,1058.199951
19065,2003-12-08,1061.5
19070,2003-12-15,1074.140015
19075,2003-12-22,1088.660034
19079,2003-12-29,1095.890015
19083,2004-01-05,1108.47998
19088,2004-01-12,1121.859985
19097,2004-01-26,1141.550049
19102,2004-02-02,1131.130005
19107,2004-02-09,1142.76001
19116,2004-02-23,1144.109985
19121,2004-03-01,1144.939941
19126,2004-03-08,1156.859985
19131,2004-03-15,1120.569946
19136,2004-03-22,1109.780029
19141,2004-03-29,1108.060059
19146,2004-04-05,1141.810059
19150,2004-04-12,1139.319946
19155,2004-04-19,1134.560059
19160,2004-04-26,1140.599976
19165,2004-05-03,1107.300049
19170,2004-05-10,1098.699951
19175,2004-05-17,1095.699951
19180,2004-05-24,1093.560059
19189,2004-06-07,1122.5
19193,2004-06-14,1136.469971
19198,2004-06-21,1135.02002
19203,2004-06-28,1134.430054
19212,2004-07-12,1112.810059
19222,2004-07-26,1086.199951
19227,2004-08-02,1101.719971
19232,2004-08-09,1063.969971
19237,2004-08-16,1064.800049
19242,2004-08-23,1098.349976
19247,2004-08-30,1107.77002
19256,2004-09-13,1123.920044
19261,2004-09-20,1128.550049
19266,2004-09-27,1110.109985
19271,2004-10-04,1131.5
19276,2004-10-11,1122.140015
19281,2004-10-18,1108.199951
19286,2004-10-25,1095.73999
19291,2004-11-01,1130.199951
19296,2004-11-08,1166.170044
19301,2004-11-15,1184.170044
19306,2004-11-22,1170.339966
19310,2004-11-29,1182.650024
19315,2004-12-06,1191.170044
19320,2004-12-13,1188.0
19325,2004-12-20,1194.199951
19329,2004-12-27,1210.130005
19334,2005-01-03,1211.920044
19339,2005-01-10,1186.189941
19348,2005-01-24,1167.869995
19353,2005-01-31,1171.359985
19358,2005-02-07,1203.030029
19363,2005-02-14,1205.300049
19372,2005-02-28,1211.369995
19377,2005-03-07,1222.119995
19382,2005-03-14,1200.079956
19387,2005-03-21,1189.650024
19391,2005-03-28,1171.420044
19396,2005-04-04,1172.790039
19401,2005-04-11,1181.199951
19406,2005-04-18,1142.619995
19411,2005-04-25,1152.119995
19416,2005-05-02,1156.849976
19421,2005-05-09,1171.349976
19426,2005-05-16,1154.050049
19431,2005-05-23,1189.280029
19440,2005-06-06,1196.02002
19445,2005-06-13,1198.109985
19450,2005-06-20,1216.959961
19455,2005-06-27,1191.569946
19464,2005-07-11,1211.859985
19469,2005-07-18,1227.920044
19474,2005-07-25,1233.680054
19479,2005-08-01,1234.180054
19484,2005-08-08,1226.420044
19489,2005-08-15,1230.400024
19494,2005-08-22,1219.709961
19499,2005-08-29,1205.099976
19508,2005-09-12,1241.47998
19513,2005-09-19,1237.910034
19518,2005-09-26,1215.290039
19523,2005-10-03,1228.810059
19528,2005-10-10,1195.900024
19533,2005-10-17,1186.569946
19538,2005-10-24,1179.589966
19543,2005-10-31,1198.410034
19548,2005-11-07,1220.140015
19553,2005-11-14,1234.719971
19558,2005-11-21,1248.27002
19562,2005-11-28,1268.25
19567,2005-12-05,1265.079956
19572,2005-12-12,1259.369995
19577,2005-12-19,1267.319946
19590,2006-01-09,1285.449951
19599,2006-01-23,1261.48999
19604,2006-01-30,1283.719971
19609,2006-02-06,1264.030029
19614,2006-02-13,1266.98999
19623,2006-02-27,1289.430054
19628,2006-03-06,1287.22998
19633,2006-03-13,1281.579956
19638,2006-03-20,1307.25
19643,2006-03-27,1302.949951
19648,2006-04-03,1302.880005
19653,2006-04-10,1295.51001
19657,2006-04-17,1289.119995
19662,2006-04-24,1311.280029
19677,2006-05-15,1291.189941
19682,2006-05-22,1267.030029
19691,2006-06-05,1288.160034
19696,2006-06-12,1252.27002
19701,2006-06-19,1251.540039
19706,2006-06-26,1244.5
19711,2006-07-03,1270.060059
19715,2006-07-10,1265.459961
19720,2006-07-17,1236.199951
19725,2006-07-24,1240.25
19730,2006-07-31,1278.530029
19735,2006-08-07,1279.310059
19740,2006-08-14,1266.670044
19745,2006-08-21,1302.300049
19750,2006-08-28,1295.089966
19759,2006-09-11,1298.859985
19764,2006-09-18,1319.849976
19769,2006-09-25,1314.780029
19774,2006-10-02,1335.819946
19779,2006-10-09,1349.579956
19784,2006-10-16,1365.609985
19789,2006-10-23,1368.579956
19794,2006-10-30,1377.300049
19799,2006-11-06,1364.27002
19804,2006-11-13,1380.579956
19809,2006-11-20,1401.170044
19813,2006-11-27,1400.949951
19818,2006-12-04,1396.670044
19823,2006-12-11,1409.810059
19828,2006-12-18,1427.079956
19840,2007-01-08,1409.26001
19849,2007-01-22,1430.469971
19854,2007-01-29,1422.030029
19859,2007-02-05,1448.329956
19864,2007-02-12,1438.0
19873,2007-02-26,1451.040039
19878,2007-03-05,1387.109985
19883,2007-03-12,1402.800049
19888,2007-03-19,1386.949951
19893,2007-03-26,1436.109985
19898,2007-04-02,1420.829956
19902,2007-04-09,1443.77002
19907,2007-04-16,1452.839966
19912,2007-04-23,1484.329956
19917,2007-04-30,1494.069946
19922,2007-05-07,1505.569946
19927,2007-05-14,1505.76001
19932,2007-05-21,1522.75
19941,2007-06-04,1536.280029
19946,2007-06-11,1507.640015
19951,2007-06-18,1532.900024
19956,2007-06-25,1502.560059
19961,2007-07-02,1504.660034
19965,2007-07-09,1530.430054
19970,2007-07-16,1552.5
19975,2007-07-23,1534.060059
19980,2007-07-30,1458.930054
19985,2007-08-06,1433.040039
19990,2007-08-13,1453.420044
19995,2007-08-20,1445.939941
20000,2007-08-27,1479.359985
20009,2007-09-10,1453.5
20014,2007-09-17,1484.23999
20019,2007-09-24,1525.75
20024,2007-10-01,1527.290039
20029,2007-10-08,1556.51001
20034,2007-10-15,1562.25
20039,2007-10-22,1497.790039
